Market Entry,Строка продаж
Market Entries,Строки продаж
Vehicle Brand,Бренд
Vehicle Brands,Бренды
Brand Name,Название бренда
Model,Модель
Models,Модели
Model Name,Название модели
Trim,Комплектация
Trims,Комплектации
Trim Name,Название комплектации
No records,Записей пока нет
Vehicle Segment,Сегмент
Vehicle Segments,Сегменты
Vehicle Class,Класс автомобиля
Classes,Классы
Fuel Type,Тип агрегата
Fuel Types,Типы агрегата
Region,Регион
Regions,Регионы
City,Город
Cities,Города
Data Source,Источник данных
Data Sources,Источники данных
Brand Market Tier,Позиционирование бренда
Market Tier,Позиционирование
Market Tier Override,Позиционирование модели
Sales Quantity,Количество продаж
Code,Код
Logo,Логотип
Source URL,URL источника
Model Dashboard,Дашборд моделей
Search model...,Поиск модели...
No vehicles found,Модели не найдены
Brands,Бренды
Search brand...,Поиск бренда или страны...
No brands found,Бренды не найдены
models,моделей
You are not permitted to perform this action.,У вас нет прав для выполнения этой операции.
Model Card,Карточка модели
Active,Активна
Inherited from brand,унаследовано от бренда
Key product parameters and available trims.,Основные параметры продукта и список доступных комплектаций.
records,записей
Date,Дата
Sales quantity cannot be negative.,Количество продаж не может быть отрицательным.
